Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,AC-001,Dropdown-profile Admin,ACCESSING,Open Dropdown,Click Trigger,Verify dropdown opens when admin user clicks the profile area/avatar,Admin user is logged in and on any page with the profile trigger visible,,"1. Click on the profile area/avatar in the header","Dropdown menu is displayed with 3 items: Profile (active), Dashboard, Logout. Dropdown appears below/near the profile trigger.","A, A.1, A.2, A.3",High,Normal,,,,
ACCESSING,AC-002,Dropdown-profile Admin,ACCESSING,Open Dropdown,Double Click Trigger,Verify dropdown handles double-click without creating duplicate dropdowns,Admin user is logged in and on any page with the profile trigger visible,,1. Double-click on the profile area/avatar in the header,Only one dropdown instance is displayed. No duplicate or flickering behavior.,A,Medium,Normal,,,,
ACCESSING,AC-003,Dropdown-profile Admin,ACCESSING,Open Dropdown,Keyboard Open,Verify dropdown can be opened using keyboard navigation,Admin user is logged in and on any page with the profile trigger visible,,"1. Press Tab to navigate focus to the profile trigger
2. Press Enter",Dropdown menu is displayed correctly with all 3 items.,A,Medium,Normal,,,,
ACCESSING,AC-004,Dropdown-profile Admin,ACCESSING,Close Dropdown,Click Outside,Verify dropdown closes when user clicks outside the dropdown area,Dropdown menu is open,,1. Click on any area outside the dropdown menu,Dropdown is closed. No navigation occurs.,A,High,Normal,,,,
ACCESSING,AC-005,Dropdown-profile Admin,ACCESSING,Close Dropdown,ESC Key,Verify dropdown closes when ESC key is pressed,Dropdown menu is open,,1. Press the ESC key,Dropdown is closed. No navigation occurs.,A,Medium,Normal,,,,
ACCESSING,AC-006,Dropdown-profile Admin,ACCESSING,Close Dropdown,Item Selection,Verify dropdown closes after a menu item is clicked,Dropdown menu is open,,1. Click on any menu item (Profile Dashboard or Logout),"Dropdown closes and the corresponding action is performed (navigation or logout).","A, A.1, A.2, A.3",High,Normal,,,,
ACCESSING,AC-007,Dropdown-profile Admin,ACCESSING,Role-based Visibility,Admin Role,Verify dropdown profile trigger is visible only for admin users,User is logged in with admin role,,"1. Log in as admin user
2. Verify profile trigger is visible in the header",Profile trigger is visible and dropdown can be opened.,A,High,Normal,,,,
ACCESSING,AC-008,Dropdown-profile Admin,ACCESSING,Role-based Visibility,Not Logged In,Verify dropdown profile trigger is not visible for unauthenticated users,User is not logged in,,1. Navigate to the application without logging in,Profile trigger and dropdown are not visible.,A,High,Normal,,,,
ACCESSING,AC-009,Dropdown-profile Admin,ACCESSING,Open Dropdown,Toggle,Verify clicking the profile trigger toggles the dropdown open and closed,Admin user is logged in,,"1. Click on the profile trigger to open dropdown
2. Click on the profile trigger again",Dropdown opens on first click and closes on second click.,A,Medium,Normal,,,,
GUI,GUI-001,Dropdown-profile Admin,GUI,Layout,Dropdown Container,Verify dropdown container displays with correct dark background and rounded corners and position,Admin user is logged in; dropdown is open,,"1. Click on the profile trigger to open dropdown
2. Observe the dropdown container appearance","Dropdown displays with dark background, rounded corners, positioned below/near the profile trigger as per design.",A,High,Normal,,,,
