Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_DP_ACC_001,Dropdown-profile,ACCESSING,Open Dropdown,Click Avatar,Verify dropdown opens when user clicks the avatar in the header,User is authenticated and on any page with the header,,"1. Click the user avatar in the header.","Dropdown is displayed with two items: ""Profile"" (with user icon) and ""Logout"" (with chevron-right icon). Dropdown appears below the avatar with open animation (opacity + translateY, 150ms).",721-5223-specs.md - A; A.1; A.2,High,Access control and security,,,,
ACCESSING,TC_DP_ACC_002,Dropdown-profile,ACCESSING,Open Dropdown,Double Click Avatar,Verify no duplicate dropdowns appear on double-click,User is authenticated and on any page with the header,,"1. Double-click the user avatar in the header.",Only one dropdown instance is displayed. No duplicate or flickering behavior.,721-5223-specs.md - A,Medium,Access control and security,,,,
ACCESSING,TC_DP_ACC_003,Dropdown-profile,ACCESSING,Open Dropdown (Keyboard),Tab + Enter,Verify dropdown can be opened via keyboard (Tab + Enter),User is authenticated and on any page with the header,,"1. Press Tab to navigate focus to the avatar.
2. Press Enter.",Dropdown is displayed correctly with focus on the first item (Profile).,721-5223-specs.md - A; A.1; A.2,Medium,Access control and security,,,,
ACCESSING,TC_DP_ACC_004,Dropdown-profile,ACCESSING,Open Dropdown (Keyboard),Tab + Space,Verify dropdown can be opened via Space key,User is authenticated and on any page with the header,,"1. Press Tab to navigate focus to the avatar.
2. Press Space.",Dropdown is displayed correctly with focus on the first item (Profile).,721-5223-specs.md - A; A.1; A.2,Medium,Access control and security,,,,
ACCESSING,TC_DP_ACC_005,Dropdown-profile,ACCESSING,Close Dropdown,Click Outside,Verify dropdown closes when clicking outside,Dropdown is open,,"1. Click on any area outside the dropdown.","Dropdown closes with close animation (opacity + translateY, 100ms). No action is performed.",721-5223-specs.md - A,High,Access control and security,,,,
ACCESSING,TC_DP_ACC_006,Dropdown-profile,ACCESSING,Close Dropdown,Escape Key,Verify dropdown closes when Escape key is pressed,Dropdown is open,,"1. Press the Escape key.",Dropdown closes. No action is performed. Focus returns to the avatar.,721-5223-specs.md - A,High,Access control and security,,,,
ACCESSING,TC_DP_ACC_007,Dropdown-profile,ACCESSING,Close Dropdown,Item Selection,Verify dropdown closes after an item is clicked,Dropdown is open,,"1. Click the ""Profile"" menu item.",Dropdown closes. Navigation to /profile occurs.,721-5223-specs.md - A.1,High,Access control and security,,,,
ACCESSING,TC_DP_ACC_008,Dropdown-profile,ACCESSING,Close Dropdown,Toggle Avatar,Verify avatar click toggles dropdown open/close,Dropdown is open,,"1. Click the avatar again.",Dropdown closes. Clicking avatar once more re-opens it.,721-5223-specs.md - A,Medium,Access control and security,,,,
ACCESSING,TC_DP_ACC_009,Dropdown-profile,ACCESSING,Authentication Gate,Unauthenticated User,Verify dropdown is not accessible when user is not logged in,User is not authenticated (no session),,"1. Navigate to /login.
2. Observe the header area.",No avatar is displayed. No dropdown trigger is available.,721-5223-specs.md - A,High,Access control and security,,,,
ACCESSING,TC_DP_ACC_010,Dropdown-profile,ACCESSING,Authentication Gate,All Authenticated Pages,Verify dropdown is accessible from any page with the header,User is authenticated,,"1. Navigate to the home page.
2. Click the avatar.
3. Close dropdown.
4. Navigate to another page.
5. Click the avatar.",Dropdown opens correctly on all authenticated pages with the same content and behavior.,721-5223-specs.md - A; A.1; A.2,Medium,Access control and security,,,,
GUI,TC_DP_GUI_001,Dropdown-profile,GUI,Layout,Container,Verify the dropdown container displays correctly per design specs,User is authenticated. Dropdown is open.,,"1. Click the avatar to open dropdown.
2. Observe the container.","Dropdown container displays with: dark background (#00070C), gold border (1px solid #998C5F), border-radius 8px, padding 6px, flex column layout. Positioned absolutely below the avatar.",721-5223-specs.md - A,High,User interface,,,,
GUI,TC_DP_GUI_002,Dropdown-profile,GUI,Layout,Profile Item - Default,Verify the Profile menu item displays correctly in default state,User is authenticated and NOT on the profile page. Dropdown is open.,,"1. Click the avatar.
2. Observe the ""Profile"" item.","Profile item shows: label ""Profile"" in white (#FFFFFF), Montserrat 16px Bold, letter-spacing 0.15px. User icon (24x24px, white) displayed. Item height 56px, padding 0 16px, border-radius 4px. Background transparent.",721-5223-specs.md - A.1,High,User interface,,,,
