Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_LOGIN_ACC_001,Login,ACCESSING,URL Access,Direct Navigation,Verify unauthenticated user can access the Login page via direct URL,User is not logged in. Browser has no active session.,URL: /login,"1. Open browser.
2. Navigate to /login.",Login page is displayed with all elements (header, hero section, Login button, footer).,specs.md - Screen Overview,High,Access control and security,,,,
ACCESSING,TC_LOGIN_ACC_002,Login,ACCESSING,Authenticated Redirect,Already Logged In,Verify authenticated user is redirected away from the Login page,User is already logged in with a valid session.,Valid Google account session,"1. Log in successfully with Google account.
2. Navigate to /login directly.",User is redirected to the home page (or appropriate landing page). Login page is not displayed.,specs.md - Security Considerations,High,Access control and security,,,,
ACCESSING,TC_LOGIN_ACC_003,Login,ACCESSING,Session Expiry,Expired Token,Verify user with expired session token is shown the Login page,User previously logged in but session token has expired.,Expired session token,"1. Log in successfully.
2. Wait for session token to expire (or manually clear/expire the token).
3. Navigate to a protected page.",User is redirected to the Login page. Login page displays correctly.,viewpoints.md - Login by Google Account (Expired token),High,Access control and security,,,,
ACCESSING,TC_LOGIN_ACC_004,Login,ACCESSING,Session Expiry,Cleared Cookies,Verify user is shown Login page after clearing browser cookies,User previously logged in.,Browser with cookies,"1. Log in successfully.
2. Clear all browser cookies.
3. Navigate to the application.",User is redirected to the Login page. No auto-login occurs.,viewpoints.md - Login by Google Account (Clear cookies),High,Access control and security,,,,
ACCESSING,TC_LOGIN_ACC_005,Login,ACCESSING,Security Headers,HTTP Headers,Verify security headers are present on the Login page response,Application is deployed and accessible.,,"1. Open browser developer tools.
2. Navigate to /login.
3. Inspect response headers.","Response includes: X-Content-Type-Options: nosniff, X-Frame-Options: DENY, Referrer-Policy: strict-origin-when-cross-origin.",specs.md - Security Considerations,Medium,Access control and security,,,,
ACCESSING,TC_LOGIN_ACC_006,Login,ACCESSING,URL Access,Login Page as Default,Verify the Login page is the default landing page for unauthenticated users,User is not logged in.,URL: / (root),"1. Open browser.
2. Navigate to the root URL /.",User is redirected to /login or the Login page is displayed.,specs.md - Security Considerations,High,Access control and security,,,,
ACCESSING,TC_LOGIN_ACC_007,Login,ACCESSING,Authenticated Redirect,Post-Logout Access,Verify Login page is accessible after logout,User has just logged out.,,"1. Log in successfully.
2. Log out.
3. Observe the page displayed.",Login page is displayed. No auto-login occurs. User must re-authenticate to access protected content.,viewpoints.md - Login by Google Account (After Logout),High,Access control and security,,,,
GUI,TC_LOGIN_GUI_001,Login,GUI,Screen Layout,Overall Layout,Verify the Login page displays all elements correctly per design specs,User is not logged in.,,"1. Navigate to /login.
2. Observe the overall page layout.","Page displays: Header with logo and language selector at top, Hero section with key visual and ""ROOT FURTHER"" title, description text, ""LOGIN With Google"" button, and Footer with copyright text at bottom. All elements match the designed spec.",specs.md - UI Elements,High,User interface,,,,
GUI,TC_LOGIN_GUI_002,Login,GUI,Header,Logo Display,Verify the logo displays correctly in the header,User is on the Login page.,,"1. Navigate to /login.
2. Observe the header area at the top-left.","""Sun Annual Awards 2025"" logo is displayed at the top-left corner. Logo is non-interactive.",specs.md - UI Elements (A.1 Logo),Medium,User interface,,,,
GUI,TC_LOGIN_GUI_003,Login,GUI,Header,Language Selector Default,Verify the language selector displays default state correctly,User is on the Login page.,,"1. Navigate to /login.
2. Observe the language selector at the top-right of the header.","Language selector displays: flag icon on the left, ""VN"" text, and a chevron/down arrow icon.",specs.md - UI Elements (A.2 Language Selector),Medium,User interface,,,,
