Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,ACC-001,Countdown - Prelaunch page,ACCESSING,Direct URL Access,,Verify the countdown page loads correctly when accessed via direct URL,Application is deployed and running,Valid countdown page URL,"1. Open a browser
2. Enter the countdown page URL in the address bar
3. Press Enter","The countdown page loads successfully displaying the countdown timer with Days, Hours, and Minutes sections",,High,Normal,,,,
ACCESSING,ACC-002,Countdown - Prelaunch page,ACCESSING,Direct URL Access,,Verify appropriate error handling when the server is unavailable,Application server is stopped/unavailable,Valid countdown page URL,"1. Open a browser
2. Enter the countdown page URL in the address bar
3. Press Enter","An appropriate error page or message is displayed (e.g., 503 Service Unavailable)",,Medium,Abnormal,,,,
ACCESSING,ACC-003,Countdown - Prelaunch page,ACCESSING,Browser Navigation,,Verify the countdown page loads correctly when navigated to via browser Back button,User has navigated away from the countdown page,,"1. Open the countdown page
2. Navigate to another page
3. Click the browser Back button",The countdown page loads correctly with updated countdown values,,Medium,Normal,,,,
ACCESSING,ACC-004,Countdown - Prelaunch page,ACCESSING,Browser Navigation,,Verify the countdown page loads correctly when navigated to via browser Forward button,User has navigated back from the countdown page,,"1. Open the countdown page
2. Navigate to another page
3. Click the browser Back button to return to countdown page
4. Click the browser Forward button to go to the other page
5. Click the browser Back button again",The countdown page loads correctly with updated countdown values,,Low,Normal,,,,
ACCESSING,ACC-005,Countdown - Prelaunch page,ACCESSING,Browser Navigation,,Verify the countdown page reloads correctly on refresh,Countdown page is currently displayed,,"1. Open the countdown page
2. Press F5 to refresh the page",The page reloads and countdown values are recalculated and displayed correctly,,High,Normal,,,,
ACCESSING,ACC-006,Countdown - Prelaunch page,ACCESSING,Browser Navigation,,Verify the countdown page loads correctly on hard refresh (bypass cache),Countdown page is currently displayed,,"1. Open the countdown page
2. Press Ctrl+F5 to hard refresh",The page reloads completely and countdown values are recalculated correctly,,Medium,Normal,,,,
ACCESSING,ACC-007,Countdown - Prelaunch page,ACCESSING,Authentication,,Verify the countdown page is accessible without requiring login,User is not logged in (no active session),Valid countdown page URL,"1. Open a new browser (incognito/private mode)
2. Enter the countdown page URL
3. Press Enter",The countdown page loads successfully without requiring login or redirecting to a login page,,High,Normal,,,,
ACCESSING,ACC-008,Countdown - Prelaunch page,ACCESSING,URL Manipulation,,Verify appropriate error handling for invalid URL paths,Application is deployed and running,"Invalid URL path (e.g., /countdown/invalid, /countdownxyz)","1. Open a browser
2. Enter an invalid variation of the countdown page URL
3. Press Enter",A 404 Not Found page is displayed,,Medium,Abnormal,,,,
ACCESSING,ACC-009,Countdown - Prelaunch page,ACCESSING,Direct URL Access,,Verify the countdown page loads correctly when URL is pasted in a new tab,Countdown page is open in one tab,,"1. Open the countdown page in a browser tab
2. Copy the URL from the address bar
3. Open a new tab
4. Paste the URL and press Enter",The countdown page loads correctly in the new tab with accurate countdown values,,Medium,Normal,,,,
ACCESSING,ACC-010,Countdown - Prelaunch page,ACCESSING,Direct URL Access,,Verify the countdown page is accessible on mobile devices,Application is deployed and running,"Valid countdown page URL, mobile device (or mobile emulation)","1. Open a mobile browser
2. Enter the countdown page URL
3. Press Go/Enter",The countdown page loads successfully and is usable on mobile screen,,High,Normal,,,,
