Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_HOMEPAGE_ACC_001,Homepage SAA,ACCESSING,Authentication,,Verify that the Homepage SAA is accessible to unauthenticated (logged-out) users,User is not logged in,,"1. Open the browser
2. Navigate to the Homepage SAA URL","1. The Homepage SAA loads successfully
2. The page displays the hero banner, countdown, awards section, kudos section, and footer
3. Header shows navigation links without user-specific controls (no notification bell, no user avatar)","A1, 3.5, C1, C2, D1, 7",High,Access control and security,,,,
ACCESSING,TC_HOMEPAGE_ACC_002,Homepage SAA,ACCESSING,Authentication,,Verify that the Homepage SAA is accessible to authenticated (logged-in) users,User is logged in with a valid account,Valid user credentials,"1. Log in to the application with valid credentials
2. Navigate to the Homepage SAA URL","1. The Homepage SAA loads successfully
2. Header displays notification bell (A1.6), language switcher (A1.7), and user avatar (A1.8)
3. All page sections render correctly","A1, A1.6, A1.7, A1.8",High,Access control and security,,,,
ACCESSING,TC_HOMEPAGE_ACC_003,Homepage SAA,ACCESSING,Authentication,,Verify that notification panel requires authentication,User is not logged in,,"1. Navigate to the Homepage SAA while not logged in
2. Attempt to access the notification feature (if bell icon is visible)","1. Notification bell icon is not displayed for unauthenticated users, OR
2. Clicking the bell redirects to the login page",A1.6,Medium,Access control and security,,,,
ACCESSING,TC_HOMEPAGE_ACC_004,Homepage SAA,ACCESSING,Authorization,,Verify that the Admin Dashboard option appears only for admin role users in the profile dropdown,User is logged in with admin role,Admin user credentials,"1. Log in with admin credentials
2. Navigate to the Homepage SAA
3. Click the user avatar icon (A1.8)","1. Profile dropdown opens
2. Dropdown displays: Profile, Sign out, Admin Dashboard options",A1.8,High,Access control and security,,,,
ACCESSING,TC_HOMEPAGE_ACC_005,Homepage SAA,ACCESSING,Authorization,,Verify that the Admin Dashboard option does NOT appear for regular (non-admin) users,User is logged in with regular (non-admin) role,Regular user credentials,"1. Log in with regular user credentials
2. Navigate to the Homepage SAA
3. Click the user avatar icon (A1.8)","1. Profile dropdown opens
2. Dropdown displays: Profile, Sign out (no Admin Dashboard option)",A1.8,High,Access control and security,,,,
ACCESSING,TC_HOMEPAGE_ACC_006,Homepage SAA,ACCESSING,Session,,Verify that the Homepage SAA reflects session expiry correctly,"User was previously logged in, session has expired",,"1. Log in to the application
2. Wait for the session to expire (or manually clear session)
3. Navigate to (or refresh) the Homepage SAA","1. The Homepage SAA loads successfully
2. Header reverts to unauthenticated state (no notification bell, no user avatar)
3. Public content remains visible",A1,Medium,Access control and security,,,,
ACCESSING,TC_HOMEPAGE_ACC_007,Homepage SAA,ACCESSING,URL Access,,Verify that accessing the Homepage SAA via direct URL works correctly,User has a valid browser,Homepage SAA URL,"1. Open the browser
2. Enter the Homepage SAA URL directly in the address bar
3. Press Enter","1. The Homepage SAA loads without error
2. All sections display correctly","3.5, C1, C2, D1, 7",Medium,Access control and security,,,,
ACCESSING,TC_HOMEPAGE_ACC_008,Homepage SAA,ACCESSING,URL Access,,Verify that invalid/malformed URL paths under homepage are handled gracefully,User has a valid browser,"Invalid URL path (e.g., /homepage-invalid-path)","1. Open the browser
2. Navigate to an invalid URL path related to the homepage","1. Application displays a 404 error page or redirects to the homepage
2. No server error (500) is exposed",,Low,Access control and security,,,,
GUI,TC_HOMEPAGE_GUI_001,Homepage SAA,GUI,Award Cards,Description Truncation,Verify award card descriptions truncate with ellipsis after 2 lines,Award card has a description longer than 2 lines,,"1. Navigate to the Homepage SAA
2. Observe award cards with long descriptions","1. Description text displays maximum 2 lines
2. If text exceeds 2 lines, ellipsis (...) appears at the end",C2.1.3,Medium,User interface,,,,
GUI,TC_HOMEPAGE_GUI_002,Homepage SAA,GUI,Awards Section,Default Display,Verify the awards section header and card grid display correctly,User navigates to the Homepage SAA,,"1. Scroll to the awards section
2. Verify section header: caption 'Sun* annual awards 2025', title 'He thong giai thuong', description text
3. Verify 6 award cards are displayed in grid
4. Verify each card has: thumbnail image, title, description, 'Chi tiet' link","1. Section header displays caption, title, and description correctly
2. 6 award cards display: Top Talent, Top Project, Top Project Leader, Best Manager, Signature 2025 - Creator, MVP
3. Each card shows: square thumbnail with yellow border/light effect, title text, description (max 2 lines), 'Chi tiet' link with icon
4. Grid layout: 3 columns on desktop, 2 columns on tablet/mobile","C1, C2, C2.1, C2.2, C2.3, C2.4, C2.5, C2.6",High,User interface,,,,
GUI,TC_HOMEPAGE_GUI_003,Homepage SAA,GUI,Event Info,Default Display,Verify the event information block displays static content correctly,User navigates to the Homepage SAA,,"1. Observe the event information section within the hero area","1. 'Thoi gian:' label with value '18h30' displays correctly
2. 'Dia diem:' label with value 'Nha hat nghe thuat quan doi' displays correctly
3. Livestream note 'Tuong thuat truc tiep tai Group Facebook Sun* Family' displays correctly
4. Text wraps properly on smaller screens without overflow",B2,Medium,User interface,,,,
GUI,TC_HOMEPAGE_GUI_004,Homepage SAA,GUI,Footer,Default Display,Verify the footer displays all elements correctly,User navigates to the Homepage SAA,,"1. Scroll to the bottom of the page
2. Verify footer logo on the left
3. Verify navigation links: 'About SAA 2025', 'Awards Information', 'Sun* Kudos'
4. Verify copyright text on the right","1. Footer logo (69x64px) displays on the left
2. Navigation links display in the center
3. Copyright text 'Ban quyen thuoc ve Sun* (c) 2025' displays on the right
4. All elements are properly aligned","7, 7.1, 7.2, 7.3, 7.4",Medium,User interface,,,,
GUI,TC_HOMEPAGE_GUI_005,Homepage SAA,GUI,Header,Default Display,Verify the header displays all elements in correct positions and default states,User is logged in and navigates to the Homepage SAA,,"1. Observe the header at the top of the page
2. Verify logo is on the left side
3. Verify navigation links are displayed: 'About SAA 2025', 'Awards Information', 'Sun* Kudos'
4. Verify right-side controls: notification bell, language 'VN', user avatar
5. Verify 'About SAA 2025' shows selected state (yellow/underline)","1. Logo (64x60px) displays on the left
2. Navigation links display in correct order
3. 'About SAA 2025' shows selected state (yellow text with underline)
4. Right-side icons display: bell, 'VN' text, user avatar (each 40x40px)
5. All elements are properly aligned","A1, A1.1, A1.2, A1.3, A1.5, A1.6, A1.7, A1.8",High,User interface,,,,
GUI,TC_HOMEPAGE_GUI_006,Homepage SAA,GUI,Hero Section,Countdown Display,Verify countdown timer displays with correct zero-padding format,Event has not yet started,"Event date set so that days < 10, hours < 10, minutes < 10","1. Configure event datetime so remaining time has single-digit values
2. Navigate to the Homepage SAA
3. Observe the countdown digits","1. Days displays with leading zero (e.g., '05' not '5')
2. Hours displays with leading zero (e.g., '03' not '3')
3. Minutes displays with leading zero (e.g., '09' not '9')
4. Each digit is enclosed in a number box","B1.3, B1.3.1, B1.3.2, B1.3.3",Medium,User interface,,,,
GUI,TC_HOMEPAGE_GUI_007,Homepage SAA,GUI,Hero Section,Countdown Zero State,Verify countdown display when event time has passed (all zeros),Event datetime is in the past,Event date set to a past datetime,"1. Configure event datetime to a past date
2. Navigate to the Homepage SAA
3. Observe countdown and 'Coming soon' label","1. Countdown displays '00' for DAYS, HOURS, and MINUTES
2. 'Coming soon' subtitle is hidden","B1.2, B1.3",Medium,User interface,,,,
GUI,TC_HOMEPAGE_GUI_008,Homepage SAA,GUI,Hero Section,Default Display,Verify the hero/keyvisual section displays all elements correctly in default state,Event has not yet started (countdown > 0),,"1. Navigate to the Homepage SAA
2. Observe the hero section
3. Verify 'ROOT FURTHER' title is displayed in large font
4. Verify 'Coming soon' subtitle is visible
5. Verify countdown displays 3 groups: DAYS, HOURS, MINUTES
6. Verify event info: time '18h30', location
7. Verify two CTA buttons: 'ABOUT AWARDS', 'ABOUT KUDOS'
8. Verify decorative background pattern","1. 'ROOT FURTHER' displays in very large font
2. 'Coming soon' subtitle is visible below the title
3. Countdown shows 3 blocks with 2-digit numbers and labels 'DAYS', 'HOURS', 'MINUTES'
4. Event info shows 'Thoi gian: 18h30' and 'Dia diem: Nha hat nghe thuat quan doi'
5. Livestream note displays: 'Tuong thuat truc tiep tai Group Facebook Sun* Family'
6. 'ABOUT AWARDS' button displays in yellow (hover state in design)
7. 'ABOUT KUDOS' button displays with border outline (normal state)
8. Background decorative pattern is visible","3.5, B1, B1.2, B1.3, B2, B3, B3.1, B3.2",High,User interface,,,,
GUI,TC_HOMEPAGE_GUI_009,Homepage SAA,GUI,Hover States,Award Cards,Verify hover effect on award category cards,User navigates to the Homepage SAA,,"1. Hover over any award card (e.g., Top Talent)","1. Card elevates slightly (lift effect)
2. Border or light highlight becomes visible
3. Mouse cursor changes to pointer",C2.1,Low,User interface,,,,
GUI,TC_HOMEPAGE_GUI_010,Homepage SAA,GUI,Hover States,CTA Buttons,"Verify hover states on CTA buttons ('ABOUT AWARDS' and 'ABOUT KUDOS')",User navigates to the Homepage SAA,,"1. Hover over 'ABOUT AWARDS' button
2. Hover over 'ABOUT KUDOS' button","1. Both buttons change appearance on hover (same hover style)
2. 'ABOUT AWARDS' in normal state displays like 'ABOUT KUDOS' normal state (outline/border)
3. 'ABOUT KUDOS' in hover state displays like 'ABOUT AWARDS' hover state (yellow filled)","B3, B3.1, B3.2",Low,User interface,,,,
GUI,TC_HOMEPAGE_GUI_011,Homepage SAA,GUI,Hover States,Navigation Links,Verify hover states on header navigation links,User navigates to the Homepage SAA,,"1. Hover over 'About SAA 2025' link (selected state)
2. Hover over 'Awards Information' link
3. Hover over 'Sun* Kudos' link","1. Hovered links display highlight background effect
2. Mouse cursor changes to pointer on hover
3. Selected link ('About SAA 2025') maintains yellow/underline while also showing hover effect","A1.2, A1.3, A1.5",Low,User interface,,,,
GUI,TC_HOMEPAGE_GUI_012,Homepage SAA,GUI,Kudos Section,Default Display,Verify the Sun* Kudos promotion section displays correctly,User navigates to the Homepage SAA,,"1. Scroll to the Kudos section
2. Verify label 'Phong trao ghi nhan' is displayed
3. Verify title 'Sun* Kudos' is displayed
4. Verify description paragraph is present
5. Verify illustration image on the right side
6. Verify 'Chi tiet' button with icon","1. Label 'Phong trao ghi nhan' displays correctly
2. Title 'Sun* Kudos' displays in large text
3. Description text is readable
4. Illustration image renders on the right
5. 'Chi tiet' button displays with icon","D1, D2, D2.1",Medium,User interface,,,,
GUI,TC_HOMEPAGE_GUI_013,Homepage SAA,GUI,Page Layout,,Verify the overall page layout displays correctly across all responsive breakpoints,User navigates to the Homepage SAA,,"1. Open the Homepage SAA in a browser
2. Verify at 320px (Mobile): all sections stack vertically, content is readable, no horizontal overflow
3. Verify at 768px (Tablet): layout adapts, award grid is 2 columns
4. Verify at 1024px (Desktop): layout adapts, award grid is 3 columns
5. Verify at 1440px (Wide): layout is centered with max-width container","1. At 320px: All sections stack vertically, text is readable, touch targets >= 44x44px, no horizontal scrollbar
2. At 768px: Layout uses tablet breakpoint, award card grid displays 2 columns
3. At 1024px: Layout uses desktop breakpoint, award card grid displays 3 columns
4. At 1440px: Content is centered, no excessive whitespace, layout is visually balanced
5. Page contains sections in order: Header, Hero/Keyvisual, Awards Section, Kudos Section, Footer
6. Widget button is fixed at bottom-right on all breakpoints","3.5, C2, D1, 7, 6",High,User interface,,,,
GUI,TC_HOMEPAGE_GUI_014,Homepage SAA,GUI,Text & Labels,Root Further Description,Verify the 'Root Further' description paragraph displays correctly,User navigates to the Homepage SAA,,"1. Scroll to the description block below the hero section
2. Verify the paragraph text is displayed","1. Description text displays in light color on dark background
2. Font size is medium
3. Text wraps and adjusts on smaller screens
4. Text is not editable by user interaction",B4,Low,User interface,,,,
GUI,TC_HOMEPAGE_GUI_015,Homepage SAA,GUI,Widget,Default Display,Verify the floating widget button displays correctly and stays fixed,User navigates to the Homepage SAA,,"1. Navigate to the Homepage SAA
2. Observe the widget button at bottom-right
3. Scroll down the page
4. Verify widget button remains in fixed position","1. Widget button (105x64px) displays at bottom-right with yellow pill background, rounded corners
2. Pencil icon on left, SAA icon on right, '/' separator between them
3. Button remains fixed at bottom-right during scrolling",6,Medium,User interface,,,,
