Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,ACC-001,Dropdown Hashtag Filter,ACCESSING,Dropdown Trigger,Open dropdown,Verify the dropdown hashtag list opens when the user clicks the dropdown trigger,"User is on the page containing the hashtag filter dropdown; dropdown is closed",,"1. Locate the hashtag filter dropdown trigger on the page
2. Click on the dropdown trigger","Dropdown list opens and displays the list of 13 hashtag items",A (Dropdown-List),High,Manual,,,,
ACCESSING,ACC-002,Dropdown Hashtag Filter,ACCESSING,Dropdown Trigger,Close dropdown (click outside),Verify the dropdown closes when the user clicks outside the dropdown area,Dropdown is open,,"1. Open the hashtag filter dropdown
2. Click on any area outside the dropdown","Dropdown closes; no selection change occurs",A (Dropdown-List),High,Manual,,,,
ACCESSING,ACC-003,Dropdown Hashtag Filter,ACCESSING,Dropdown Trigger,Close dropdown (Escape key),Verify the dropdown closes when the user presses the Escape key,Dropdown is open,,"1. Open the hashtag filter dropdown
2. Press the Escape key on the keyboard","Dropdown closes; no selection change occurs",A (Dropdown-List),Medium,Manual,,,,
ACCESSING,ACC-004,Dropdown Hashtag Filter,ACCESSING,Dropdown Trigger,Visibility on page load,Verify the dropdown is closed by default when the page loads,Page containing the hashtag filter has loaded,,"1. Navigate to the page containing the hashtag filter
2. Observe the dropdown trigger area","Dropdown list is not visible (closed state); only the trigger element is shown",A (Dropdown-List),High,Manual,,,,
ACCESSING,ACC-005,Dropdown Hashtag Filter,ACCESSING,Dropdown Trigger,Re-open after closing,Verify the dropdown can be reopened after being closed,Dropdown has been opened and then closed,,"1. Open the dropdown
2. Close the dropdown (click outside)
3. Click the dropdown trigger again","Dropdown reopens and displays the full list of hashtag items",A (Dropdown-List),Medium,Manual,,,,
GUI,GUI-001,Dropdown Hashtag Filter,GUI,Layout,Dropdown container,Verify the dropdown container displays with correct position and size and background and border,Dropdown is open,,"1. Open the hashtag filter dropdown
2. Inspect the dropdown container visually","Container has dark (near-black) background, rounded corners, subtle border, positioned correctly below the trigger",A (Dropdown-List),High,Manual,,,,
GUI,GUI-002,Dropdown Hashtag Filter,GUI,Layout,Item dimensions,Verify each hashtag item has correct dimensions and spacing,Dropdown is open,,"1. Open the dropdown
2. Inspect individual tag items","Each tag item is approximately 131x56px with consistent spacing between items","A.1, A.2, A.3",High,Manual,,,,
GUI,GUI-003,Dropdown Hashtag Filter,GUI,Display States,Default state,Verify unselected hashtag items display with correct default styling,Dropdown is open with at least one unselected item visible,,"1. Open the dropdown
2. Observe unselected hashtag items","Unselected items show white/bright bold text with '#' prefix on dark background, no glow effect","A.2 (Tag2), A.3 (Tag3)",High,Manual,,,,
GUI,GUI-004,Dropdown Hashtag Filter,GUI,Display States,Selected state,Verify the selected hashtag item displays with glow/highlight effect,Dropdown is open; one item is selected,,"1. Open the dropdown
2. Select a hashtag item
3. Reopen the dropdown
4. Observe the selected item","Selected item has dark background with glowing border/highlight effect and bright text, visually distinct from unselected items",A.1 (Tag1),High,Manual,,,,
GUI,GUI-005,Dropdown Hashtag Filter,GUI,Display States,Hover state,Verify hashtag items show hover effect when mouse hovers over them,Dropdown is open,,"1. Open the dropdown
2. Hover the mouse over an unselected hashtag item","Item displays a light background highlight to indicate interactivity",A.2 (Tag2),Medium,Manual,,,,
