Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,ACC-001,He Thong Giai,ACCESSING,URL Access,,Verify user can access the Award System page via direct URL,User has a valid account and is logged in,,"1. Open browser
2. Navigate to the Award System page URL (e.g., /awards)","Award System page loads successfully with all elements displayed correctly (keyvisual, title, navigation menu, award cards, Sun* Kudos block)",,High,Manual,,,,
ACCESSING,ACC-002,He Thong Giai,ACCESSING,Authentication,,Verify behavior when accessing Award System page without logging in,User is not logged in,,"1. Open browser (no active session)
2. Navigate to the Award System page URL directly","Page behavior follows authentication requirements - either displays the page (if public) or redirects to login page",,High,Manual,,,,
ACCESSING,ACC-003,He Thong Giai,ACCESSING,Authentication,,Verify behavior when session expires while on the Award System page,"User is logged in, session is about to expire",,"1. Log in and navigate to the Award System page
2. Wait for the session to expire
3. Attempt to interact with the page (e.g., click navigation menu)","Session is refreshed via middleware, or user is redirected to login if session cannot be refreshed",,Medium,Manual,,,,
ACCESSING,ACC-004,He Thong Giai,ACCESSING,URL Access,,Verify that accessing an invalid/modified Award System URL shows appropriate error,User is logged in,"Invalid URL variations (e.g., /awards/invalid, /award, /awards?id=xxx)",1. Navigate to an invalid variation of the Award System URL,"404 Not Found page is displayed, or user is redirected to the correct page",,Low,Manual,,,,
ACCESSING,ACC-005,He Thong Giai,ACCESSING,Browser Navigation,,Verify Award System page loads correctly when navigating with browser back/forward buttons,User has navigated to the Award System page from another page,,"1. Navigate from another page to the Award System page
2. Click browser Back button
3. Click browser Forward button",Award System page reloads correctly with all elements intact; scroll position may be restored,,Medium,Manual,,,,
ACCESSING,ACC-006,He Thong Giai,ACCESSING,Browser Navigation,,Verify Award System page reloads correctly after browser refresh,User is on the Award System page,,"1. Navigate to the Award System page
2. Press F5 or Ctrl+R to refresh",Page reloads fully with all content displayed correctly,,Medium,Manual,,,,
ACCESSING,ACC-007,He Thong Giai,ACCESSING,Browser Navigation,,Verify Award System page can be bookmarked and accessed from bookmark,User is logged in,,"1. Navigate to the Award System page
2. Bookmark the page
3. Close the browser
4. Open browser and access the bookmarked URL",Award System page loads correctly from the bookmark (session/auth permitting),,Low,Manual,,,,
ACCESSING,ACC-008,He Thong Giai,ACCESSING,Page Load,,Verify Award System page loads within acceptable time,Stable network connection,,"1. Navigate to the Award System page
2. Measure total page load time (including images)",Page loads completely within 3 seconds on standard broadband connection; all images and content visible,,Medium,Manual,,,,
GUI,GUI-001,He Thong Giai,GUI,Keyvisual Banner,Display,Verify the keyvisual hero banner displays correctly with image title and subtitle,User is on the Award System page,,"1. Navigate to the Award System page
2. Observe the keyvisual banner at the top of the page","Background image displays at 1200x871px with cover fit and center crop
Title ""ROOT FURTHER"" displays correctly
Subtitle ""Sun* Annual Award 2025"" displays correctly
Logo and icon visible in top corner
Image has alt text ""Keyvisual Sun* Annual Award 2025""",313:8437,High,Manual,,,,
GUI,GUI-002,He Thong Giai,GUI,Keyvisual Banner,Responsive,Verify keyvisual banner scales correctly on mobile viewport,User is on the Award System page,Viewport width: 320px,"1. Set browser viewport to 320px width
2. Observe the keyvisual banner",Banner scales responsively with center crop; title and subtitle remain readable; no horizontal overflow,313:8437,High,Manual,,,,
GUI,GUI-003,He Thong Giai,GUI,Keyvisual Banner,Responsive,Verify keyvisual banner scales correctly on tablet viewport,User is on the Award System page,Viewport width: 768px,"1. Set browser viewport to 768px width
2. Observe the keyvisual banner",Banner scales responsively with center crop; all text elements display correctly,313:8437,Medium,Manual,,,,
GUI,GUI-004,He Thong Giai,GUI,Keyvisual Banner,Responsive,Verify keyvisual banner displays correctly at desktop widths,User is on the Award System page,"Viewport widths: 1024px, 1440px","1. Set browser viewport to 1024px then 1440px
2. Observe the keyvisual banner at each width",Banner displays at full width with proper cover/crop behavior; all elements positioned correctly,313:8437,Medium,Manual,,,,
GUI,GUI-005,He Thong Giai,GUI,Title Section,Display,Verify the award system title section displays correctly,User is on the Award System page,,"1. Scroll to the title section below the keyvisual
2. Observe the title text elements","Sub-text ""Sun* annual awards 2025"" displays in small faded style
Main title ""He thong giai thuong SAA 2025"" displays in large gold/yellow color
Text is not editable
Position and formatting match design spec",313:8453,High,Manual,,,,
GUI,GUI-006,He Thong Giai,GUI,Navigation Menu,Display,Verify the left navigation menu displays all 6 award categories correctly,"User is on the Award System page, scrolled to award section",,"1. Scroll to the award system section
2. Observe the left navigation menu","6 menu items displayed in correct order: Top Talent, Top Project, Top Project Leader, Best Manager, Signature 2025 - Creator, MVP
Active item shows yellow color + underline indicator
Font, color, and positioning match design spec
Icons display correctly (Top Talent has icon before text)","313:8459, 313:8460-313:8465",High,Manual,,,,
