Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,ACC-001,Open Secret Box - Chua Mo,ACCESSING,Authentication,Logged-in user,"Verify that logged-in user with secret boxes can open the modal","User is logged in; user has >= 1 unopened secret box",,"1. Navigate to the page containing the secret box trigger
2. Click the button/link that opens the ""Open Secret Box"" modal","Modal ""KHAM PHA SECRET BOX CUA BAN"" displays correctly with box image and counter showing correct number",A - Title; B - Instruction text; C - Box image; D - Counter,High,Functional,,,,
ACCESSING,ACC-002,Open Secret Box - Chua Mo,ACCESSING,Authentication,Not logged-in,"Verify that unauthenticated users cannot access the secret box modal","User is not logged in",,"1. Navigate to the page containing the secret box trigger
2. Attempt to click the button/link that opens the modal","Modal does not open; user is redirected to login page or shown an authentication prompt",A - Title,High,Functional,,,,
ACCESSING,ACC-003,Open Secret Box - Chua Mo,ACCESSING,Authorization,Zero boxes,"Verify modal behavior when user has no unopened boxes","User is logged in; user has 0 unopened secret boxes",,"1. Navigate to the page containing the secret box trigger
2. Click the button/link that opens the modal","Modal opens showing counter = 0, instruction text ""Click vao box de mo"" is hidden, box image click is disabled","B - Instruction text (hidden when count=0); C - Box image (disabled when count=0); D - Counter",High,Functional,,,,
ACCESSING,ACC-004,Open Secret Box - Chua Mo,ACCESSING,Modal Close,X button,"Verify modal closes when clicking the X button","Modal is open",,"1. Click the X button in the top-right corner of the modal","Modal closes, returns to parent screen with no data changes",A - Close button X,High,Functional,,,,
ACCESSING,ACC-005,Open Secret Box - Chua Mo,ACCESSING,Modal Close,Keyboard ESC,"Verify modal closes when pressing ESC key","Modal is open",,"1. Press ESC key on keyboard","Modal closes, returns to parent screen with no data changes",A - Close button X,Medium,Functional,,,,
ACCESSING,ACC-006,Open Secret Box - Chua Mo,ACCESSING,Modal Close,Outside click,"Verify behavior when clicking outside the modal on the overlay","Modal is open",,"1. Click on the dark overlay area outside the modal content","Modal closes or stays open (per spec design)",,Medium,Functional,,,,
ACCESSING,ACC-007,Open Secret Box - Chua Mo,ACCESSING,Modal Open,Double click,"Verify modal opens correctly on double-click of the trigger","User is logged in with >= 1 unopened secret box",,"1. Double-click the button/link that opens the modal","Modal opens once without duplication or error",,Low,Functional,,,,
ACCESSING,ACC-008,Open Secret Box - Chua Mo,ACCESSING,Modal State,Page reload,"Verify modal state after page reload","Modal is open",,"1. Press F5 or Ctrl+R to reload the page","Page reloads, modal is closed, no data corruption",,Medium,Functional,,,,
GUI,GUI-001,Open Secret Box - Chua Mo,GUI,Layout,Modal position,"Verify modal is centered on screen with dark overlay background","Modal is open",,"1. Open the secret box modal
2. Observe the modal position and background","Modal is centered horizontally and vertically on screen; dark semi-transparent overlay covers the background content",,High,GUI,,,,
GUI,GUI-002,Open Secret Box - Chua Mo,GUI,Label,Title,"Verify title displays correct text with proper styling","Modal is open",,"1. Observe the title text at the top of the modal","Title displays ""KHAM PHA SECRET BOX CUA BAN"" in uppercase, bold, golden/yellow color, centered at top of modal",A - Title,High,GUI,,,,
GUI,GUI-003,Open Secret Box - Chua Mo,GUI,Button,Close X position,"Verify X button displays correctly in top-right corner","Modal is open",,"1. Observe the X button position and appearance","X button is positioned at top-right corner of the modal, visible and properly styled",A - Close button X,High,GUI,,,,
GUI,GUI-004,Open Secret Box - Chua Mo,GUI,Button,Close X hover,"Verify X button has visual feedback on hover","Modal is open",,"1. Hover mouse over the X button","X button shows hover state (color change, opacity change, or cursor change to pointer)",A - Close button X,Low,GUI,,,,
GUI,GUI-005,Open Secret Box - Chua Mo,GUI,Label,Instruction text visible,"Verify instruction text displays when user has unopened boxes","Modal is open; unopened secret box count > 0",,"1. Observe the instruction text below the title","Text ""Click vao box de mo"" is displayed, centered, white color, below the title and above the box image",B - Instruction text,High,GUI,,,,
GUI,GUI-006,Open Secret Box - Chua Mo,GUI,Label,Instruction text hidden,"Verify instruction text is hidden when user has 0 unopened boxes","Modal is open; unopened secret box count = 0",,"1. Observe the area below the title","Instruction text ""Click vao box de mo"" is not displayed","B - Instruction text (hidden when count=0)",High,GUI,,,,
GUI,GUI-007,Open Secret Box - Chua Mo,GUI,Image,Box image display,"Verify gift box image displays correctly","Modal is open; unopened secret box count > 0",,"1. Observe the box image in the center of the modal","Gift box illustration with golden ribbon and sparkle effects displays correctly, not broken or distorted, centered in modal",C - Box image,High,GUI,,,,
GUI,GUI-008,Open Secret Box - Chua Mo,GUI,Image,Cursor active,"Verify cursor shows pointer when hovering box image with available boxes","Modal is open; unopened secret box count > 0",,"1. Hover mouse over the box image","Cursor changes to pointer (hand icon) indicating the image is clickable",C - Box image,Medium,GUI,,,,
GUI,GUI-009,Open Secret Box - Chua Mo,GUI,Image,Cursor disabled,"Verify cursor shows default/not-allowed when box count is 0","Modal is open; unopened secret box count = 0",,"1. Hover mouse over the box image","Cursor shows default arrow or not-allowed icon, indicating the image is not clickable","C - Box image (disabled when count=0)",Medium,GUI,,,,
GUI,GUI-010,Open Secret Box - Chua Mo,GUI,Label,Counter label,"Verify ""Secretbox chua mo"" label text and style","Modal is open",,"1. Observe the counter area at the bottom of the modal","Label ""Secretbox chua mo"" displays in small, white text at the bottom of the modal",D - Counter label,High,GUI,,,,
GUI,GUI-011,Open Secret Box - Chua Mo,GUI,Label,Counter number,"Verify the counter number displays with correct style","Modal is open; user has 5 unopened secret boxes",counter value = 5,"1. Observe the number next to the counter label","Number ""05"" displays in large, bold, yellow/golden font next to the label text",D - Counter number,High,GUI,,,,
GUI,GUI-012,Open Secret Box - Chua Mo,GUI,Label,Counter format,"Verify counter displays with leading zero for single-digit numbers","Modal is open; user has 3 unopened secret boxes",counter value = 3,"1. Observe the counter number","Number displays as ""03"" (zero-padded two-digit format)",D - Counter number,Medium,GUI,,,,
GUI,GUI-013,Open Secret Box - Chua Mo,GUI,Label,Counter zero,"Verify counter displays correctly when count is 0","Modal is open; user has 0 unopened secret boxes",counter value = 0,"1. Observe the counter number","Number displays as ""00"" in the same style",D - Counter number,Medium,GUI,,,,
GUI,GUI-014,Open Secret Box - Chua Mo,GUI,Layout,Background color,"Verify modal has dark background color as per design","Modal is open",,"1. Observe the modal background","Modal has dark navy/black background color matching the Figma design",,Medium,GUI,,,,
GUI,GUI-015,Open Secret Box - Chua Mo,GUI,Responsive,Mobile 320px,"Verify modal displays correctly on mobile viewport","Modal is open; viewport width = 320px",viewport = 320px,"1. Open modal on mobile viewport
2. Observe all elements","Modal scales appropriately, all elements visible, no horizontal scrolling, text readable, image not cropped",,High,GUI,,,,
GUI,GUI-016,Open Secret Box - Chua Mo,GUI,Responsive,Tablet 768px,"Verify modal displays correctly on tablet viewport","Modal is open; viewport width = 768px",viewport = 768px,"1. Open modal on tablet viewport
2. Observe all elements","Modal scales appropriately, layout intact, all elements properly sized",,Medium,GUI,,,,
GUI,GUI-017,Open Secret Box - Chua Mo,GUI,Responsive,Desktop 1024px,"Verify modal displays correctly on desktop viewport","Modal is open; viewport width = 1024px",viewport = 1024px,"1. Open modal on desktop viewport
2. Observe all elements","Modal displays centered with proper proportions matching Figma design",,Medium,GUI,,,,
GUI,GUI-018,Open Secret Box - Chua Mo,GUI,Responsive,Zoom,"Verify modal layout integrity when zooming browser","Modal is open",,"1. Zoom browser to 150%
2. Zoom browser to 75%
3. Observe modal layout at each zoom level","Modal layout is not broken, all elements visible and properly aligned at different zoom levels",,Low,GUI,,,,
GUI,GUI-019,Open Secret Box - Chua Mo,GUI,Layout,Overlay interaction,"Verify background content is not clickable while modal is open","Modal is open",,"1. Try to click on various elements on the background page (behind the overlay)","No interaction with background elements; modal stays open",,Medium,GUI,,,,
GUI,GUI-020,Open Secret Box - Chua Mo,GUI,Layout,Scroll lock,"Verify background page does not scroll while modal is open","Modal is open; parent page has scrollable content",,"1. Try to scroll up/down using mouse wheel
2. Try to scroll using keyboard (arrow keys, Page Up/Down)","Background page does not scroll; modal remains fixed in position",,Medium,GUI,,,,
GUI,GUI-021,Open Secret Box - Chua Mo,GUI,Interaction,Text select,"Verify text can be selected and copied in the modal","Modal is open",,"1. Try to select the title text
2. Try to select the instruction text
3. Try Ctrl+C to copy selected text","Text is selectable and copyable; modal remains unchanged",,Low,GUI,,,,
