Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,"TC_KUDOS_ACC_001","Sun* Kudos - Live Board","Check access permission","Direct URL access","Unauthenticated user","Verify unauthenticated user is redirected to login when accessing /kudos","User is not logged in (no active session)","URL: /kudos","1. Open the browser
2. Enter the URL /kudos directly in the address bar
3. Press Enter","User is redirected to /login page","Yes","High","Access control and security",,,,
ACCESSING,"TC_KUDOS_ACC_002","Sun* Kudos - Live Board","Check access permission","Direct URL access","Authenticated user","Verify authenticated user can access /kudos page","User is logged in with a valid Supabase Auth session","URL: /kudos","1. Log in to the application
2. Enter the URL /kudos directly in the address bar
3. Press Enter","Sun* Kudos - Live Board page displayed successfully","Yes","High","Access control and security",,,,
ACCESSING,"TC_KUDOS_ACC_003","Sun* Kudos - Live Board","Check authentication","Session expired","Redirect to login","Verify expired session triggers redirect to login","User was previously logged in but session cookie has expired","URL: /kudos","1. Log in to the application
2. Navigate to /kudos and confirm the page loads
3. Wait for the session to expire (or manually clear the session cookie)
4. Refresh the /kudos page","User is redirected to /login page","Yes","High","Access control and security",,,,
ACCESSING,"TC_KUDOS_ACC_004","Sun* Kudos - Live Board","Check navigation path","From header nav","Via Kudos nav link","Verify navigation to /kudos via header nav link","User is logged in with a valid session","Header navigation; Kudos nav item","1. Log in to the application
2. Locate the main navigation header
3. Click the ""Kudos"" nav item","User navigated to /kudos; Live Board page displayed","Yes","Medium","Access control and security",,,,
GUI,"TC_KUDOS_GUI_001","Sun* Kudos - Live Board","Check layout","Screen-wide layout","Overall structure","Verify all major sections present in correct order","User is authenticated and navigates to /kudos","","1. Open the Sun* Kudos - Live Board screen
2. Scroll through the entire page from top to bottom
3. Verify the presence and order of all major sections","Four sections in order: KV Kudos (Hero Banner) with recognition input; HIGHLIGHT KUDOS with subtitle/divider/title/filters/carousel; SPOTLIGHT with subtitle/divider/title/word cloud board (rounded-47px; border #998C5F; min-h 548px); ALL KUDOS with subtitle/divider/title/feed (left)/stats sidebar+leaderboard (right; sticky)","Yes","High","User interface",,,,
GUI,"TC_KUDOS_GUI_002","Sun* Kudos - Live Board","Initialize","Button ghi nhận","Placeholder text","Verify recognition input placeholder text","User is authenticated and navigates to /kudos","","1. Open the Sun* Kudos - Live Board screen
2. Locate the Button ghi nhận inside the KV Kudos section
3. Verify the placeholder text","Placeholder text displayed: ""Hôm nay; bạn muốn gửi lời cảm ơn và ghi nhận đến ai?""","Yes","Medium","User interface",,,,
GUI,"TC_KUDOS_GUI_003","Sun* Kudos - Live Board","Initialize","Tìm kiếm sunner","Placeholder text","Verify spotlight search input placeholder","User is authenticated and navigates to /kudos","","1. Open the Sun* Kudos - Live Board screen
2. Scroll to the SPOTLIGHT section
3. Locate the search input at top-left of spotlight board
4. Verify the placeholder text","Placeholder text displayed: ""Tìm kiếm""","Yes","Medium","User interface",,,,
GUI,"TC_KUDOS_GUI_004","Sun* Kudos - Live Board","Initialize","Highlight Carousel","Default value/state","Verify carousel defaults to first card active","User is authenticated and navigates to /kudos. Highlighted kudos available.","","1. Open the Sun* Kudos - Live Board screen
2. Scroll to the HIGHLIGHT KUDOS section
3. Observe the carousel default state","First card displayed as active center card at full scale (1.0); adjacent cards at scale 0.85; far cards at scale 0.75","Yes","Medium","User interface",,,,
GUI,"TC_KUDOS_GUI_005","Sun* Kudos - Live Board","Initialize","Carousel Pagination","Default value/state","Verify pagination defaults to 1/N","User is authenticated and navigates to /kudos. Highlighted kudos available.","","1. Open the Sun* Kudos - Live Board screen
2. Scroll to the HIGHLIGHT KUDOS section
3. Observe the pagination indicator","Pagination displays ""1/N""; active page number in gold (#FFEA9E) at 32px bold; total in 16px white/60%","Yes","Medium","User interface",,,,
FUNCTION,"TC_KUDOS_FUN_001","Sun* Kudos - Live Board","Check component interaction","Button ghi nhận","Open","Verify click opens send kudos dialog","User is logged in and on the Live Board page","","1. Locate the ""Button ghi nhận"" input field in the hero banner area
2. Click on the input field","Send kudos dialog opened with form fields displayed","Yes","High","Normal_Others",,,,
FUNCTION,"TC_KUDOS_FUN_002","Sun* Kudos - Live Board","Check component interaction","ButtonHashtag","Open","Verify click opens hashtag dropdown","User is logged in. Highlight section visible.","","1. Scroll to the Highlight section
2. Click the ButtonHashtag filter button","Dropdown list of hashtags (from database) displayed","Yes","High","Normal_Others",,,,
FUNCTION,"TC_KUDOS_FUN_003","Sun* Kudos - Live Board","Check component interaction","ButtonHashtag","Select","Verify selecting a hashtag from dropdown","User is logged in. ButtonHashtag dropdown open with available hashtags.","","1. Click the ButtonHashtag filter button to open the dropdown
2. Select a hashtag from the dropdown list","Selected hashtag applied as filter; dropdown closes with selection indicated","Yes","High","Normal_Others",,,,
