Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_HASH_ACC_001,Dropdown List Hashtag,ACCESSING,Component Visibility,Default State,Verify the hashtag dropdown is not visible before user interaction,User is logged in and on the Kudos writing page,,"1. Navigate to the Kudos writing page
2. Observe the Hashtag section","The dropdown list is hidden. Only the trigger element (""+ Hashtag / Toi da 5"") is visible.",specs.md - Screen Overview,High,Access control and security,,,,
ACCESSING,TC_HASH_ACC_002,Dropdown List Hashtag,ACCESSING,Component Visibility,Trigger Display,Verify clicking the Hashtag trigger button opens the dropdown,User is logged in and on the Kudos writing page. Dropdown is closed.,,"1. Navigate to the Kudos writing page
2. Click on the ""+ Hashtag"" trigger button",The dropdown list appears showing all 13 hashtags with dark background theme.,specs.md - Functional Rules,High,Access control and security,,,,
ACCESSING,TC_HASH_ACC_003,Dropdown List Hashtag,ACCESSING,Component Visibility,Close Behavior,Verify the dropdown closes when user clicks outside the component,User is logged in. Dropdown is open.,,"1. Open the hashtag dropdown
2. Click on any area outside the dropdown",The dropdown closes. Any selections made are preserved.,specs.md - Functional Rules,High,Access control and security,,,,
ACCESSING,TC_HASH_ACC_004,Dropdown List Hashtag,ACCESSING,Authentication,Login Required,Verify the hashtag dropdown is only accessible to authenticated users,User is not logged in,,1. Attempt to access the Kudos writing page without logging in,User is redirected to the login page. The Hashtag dropdown component is not accessible.,specs.md - Screen Overview,High,Access control and security,,,,
ACCESSING,TC_HASH_ACC_005,Dropdown List Hashtag,ACCESSING,Component Visibility,Re-open,Verify the dropdown can be reopened after being closed,User is logged in. Dropdown was previously opened and closed.,,"1. Open the hashtag dropdown
2. Close it by clicking outside
3. Click the trigger button again",The dropdown re-opens showing all hashtags. Previously selected hashtags remain selected with checkmark icons.,specs.md - Functional Rules,Medium,Access control and security,,,,
GUI,TC_HASH_GUI_001,Dropdown List Hashtag,GUI,Dropdown Header,Label Display,"Verify the dropdown header shows ""Hashtag"" label and ""Toi da 5"" subtitle correctly",User is logged in. Dropdown is open.,,"1. Open the hashtag dropdown
2. Observe the header area","Header displays ""Hashtag"" label text and ""Toi da 5"" (Max 5) subtitle. ""+"" icon is visible to the left.",specs.md - Visual Specifications,High,User interface,,,,
GUI,TC_HASH_GUI_002,Dropdown List Hashtag,GUI,Hashtag List,Item Display,Verify all 13 hashtags are displayed in the dropdown with '#' prefix,User is logged in. Dropdown is open.,,"1. Open the hashtag dropdown
2. Scroll through the entire list
3. Count and verify each hashtag","All 13 hashtags are displayed, each with '#' prefix: #Toan dien, #Gioi chuyen mon, #Hieu suat cao, #Truyen cam hung, #Cong hien, #Aim High, #Be Agile, #Wasshoi, #Huong muc tieu, #Huong khach hang, #Chuan quy trinh, #Giai phap sang tao, #Quan ly xuat sac.",specs.md - Hashtag List,High,User interface,,,,
GUI,TC_HASH_GUI_003,Dropdown List Hashtag,GUI,Hashtag List,Item Order,Verify hashtags are displayed in the correct predefined order,User is logged in. Dropdown is open.,,"1. Open the hashtag dropdown
2. Scroll through the list and note the order","Hashtags appear in the defined order: Toan dien, Gioi chuyen mon, Hieu suat cao, Truyen cam hung, Cong hien, Aim High, Be Agile, Wasshoi, Huong muc tieu, Huong khach hang, Chuan quy trinh, Giai phap sang tao, Quan ly xuat sac.",specs.md - Hashtag List,Medium,User interface,,,,
GUI,TC_HASH_GUI_004,Dropdown List Hashtag,GUI,Hashtag List,Selected State,Verify selected hashtag items display a golden checkmark icon on the right,User is logged in. Dropdown is open. At least one hashtag is selected.,,"1. Open the hashtag dropdown
2. Click on a hashtag to select it
3. Observe the selected item",The selected hashtag displays a golden/yellow checkmark icon (24x24px) on the right side of the item row.,"specs.md - Design Items (A.2), Visual Specifications",High,User interface,,,,
GUI,TC_HASH_GUI_005,Dropdown List Hashtag,GUI,Hashtag List,Unselected State,Verify unselected hashtag items do not show a checkmark icon,User is logged in. Dropdown is open.,,"1. Open the hashtag dropdown
2. Observe unselected hashtag items",Unselected items display only the hashtag text with '#' prefix. No checkmark icon is shown. Space for the icon is preserved.,"specs.md - Design Items (D), Visual Specifications",High,User interface,,,,
GUI,TC_HASH_GUI_006,Dropdown List Hashtag,GUI,Hashtag List,Hover State,Verify background color changes on hover over a hashtag item,User is logged in. Dropdown is open.,,"1. Open the hashtag dropdown
2. Hover the mouse over a hashtag item (without clicking)","The hovered item's background color changes slightly to highlight it, distinguishing it from other items.",specs.md - Functional Rules (Hover effect),Medium,User interface,,,,
