Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_LANG_ACC_001,Dropdown-ngon-ngu,ACCESSING,Component Visibility,Login Page,Verify language dropdown is visible on the Login page,User is not logged in,,"1. Navigate to /login.
2. Observe the header area.",Language dropdown is displayed in the header with Vietnam flag icon and "VN" text.,specs.md - UI Elements (A. Dropdown-List),High,Access control and security,,,,
ACCESSING,TC_LANG_ACC_002,Dropdown-ngon-ngu,ACCESSING,Component Visibility,Home Page (Authenticated),Verify language dropdown is visible on the Home page for authenticated users,User is logged in with valid session,Valid Google account session,"1. Log in successfully.
2. Navigate to home page.
3. Observe the header area.",Language dropdown is displayed in the header with current language flag and code.,specs.md - UI Elements (A. Dropdown-List),High,Access control and security,,,,
ACCESSING,TC_LANG_ACC_003,Dropdown-ngon-ngu,ACCESSING,Component Visibility,Across All Pages,Verify language dropdown is consistently available across all application pages,User is logged in,,"1. Navigate to home page and verify dropdown is present.
2. Navigate to kudos page and verify dropdown is present.
3. Navigate to awards page and verify dropdown is present.",Language dropdown is displayed in the header on all pages with consistent appearance.,specs.md - UI Elements (A. Dropdown-List),Medium,Access control and security,,,,
ACCESSING,TC_LANG_ACC_004,Dropdown-ngon-ngu,ACCESSING,Session State,Expired Session,Verify language dropdown remains visible when session expires,User's session has expired,,"1. Log in successfully.
2. Wait for session to expire (or manually expire the token).
3. Refresh the page.
4. Observe the header area.",Language dropdown is still visible on the redirected login page.,viewpoints.md - Additional Viewpoints,Medium,Access control and security,,,,
ACCESSING,TC_LANG_ACC_005,Dropdown-ngon-ngu,ACCESSING,Accessibility,Keyboard Reachability,Verify language dropdown is reachable via keyboard Tab navigation,User is on any page with the language dropdown,,"1. Navigate to any page.
2. Press Tab key repeatedly to cycle through focusable elements.",Language dropdown receives focus and shows a visible focus indicator.,viewpoints.md - Additional Viewpoints,Medium,Access control and security,,,,
GUI,TC_LANG_GUI_001,Dropdown-ngon-ngu,GUI,Default State,Collapsed Display,Verify the dropdown displays correctly in its default collapsed state,User is on a page with the language dropdown,,"1. Navigate to any page.
2. Observe the language dropdown in the header.","Dropdown displays: Vietnam flag icon on the left, ""VN"" text on the right, dark gray background. Compact and properly aligned in header.",specs.md - UI Elements (A. Dropdown-List),High,User interface,,,,
GUI,TC_LANG_GUI_002,Dropdown-ngon-ngu,GUI,Expanded State,Full Dropdown Display,Verify the dropdown displays correctly when expanded,User is on a page with the language dropdown,,"1. Click on the language dropdown.","Dropdown expands showing: Selected item (VN) on top with dark gray background, EN option below with darker/black background. UK flag + ""EN"" text displayed in option area.",specs.md - UI Elements (A. Dropdown-List),High,User interface,,,,
GUI,TC_LANG_GUI_003,Dropdown-ngon-ngu,GUI,Flag Icons,Vietnam Flag,Verify the Vietnam flag icon renders correctly,Dropdown is visible,,"1. Observe the VN option in the dropdown.",Vietnam flag (red background with yellow star) is displayed as a small rectangular icon. Clearly recognizable.,specs.md - UI Elements (A.1 Tieng Viet),Medium,User interface,,,,
GUI,TC_LANG_GUI_004,Dropdown-ngon-ngu,GUI,Flag Icons,UK Flag,Verify the UK/British flag icon renders correctly,Dropdown is expanded,,"1. Click on the language dropdown.
2. Observe the EN option.","UK flag (Union Jack) is displayed as a small rectangular icon on the left side of ""EN"" text. Clearly recognizable.",specs.md - UI Elements (A.2 Tieng Anh),Medium,User interface,,,,
GUI,TC_LANG_GUI_005,Dropdown-ngon-ngu,GUI,Text Display,Color and Contrast,Verify text is readable with proper contrast against dark background,Dropdown is visible,,"1. Observe VN text in collapsed state.
2. Open dropdown and observe EN text.","Both ""VN"" and ""EN"" text are displayed in white color with sufficient contrast against the dark backgrounds.",specs.md - Visual Design,Medium,User interface,,,,
GUI,TC_LANG_GUI_006,Dropdown-ngon-ngu,GUI,Hover State,EN Option Hover,Verify hover visual feedback on the EN language option,Dropdown is expanded,,"1. Click to open the dropdown.
2. Hover mouse over the EN option.",EN option background changes to a highlight color to indicate interactive state. Cursor changes to pointer.,specs.md - UI Elements (A.2 Tieng Anh),Medium,User interface,,,,
