Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,ACC-001,The le UPDATE,Open Modal,Click,,Verify the "The le UPDATE" modal opens when user clicks on the trigger element,User is logged in and on the main screen where the "The le" trigger is visible,N/A,"1. Navigate to the screen containing the ""The le"" trigger
2. Click on the ""The le"" button/link","The ""The le UPDATE"" modal is displayed without error, showing title, description, reward list, 6 badges, and ""Dong""/""Viet KUDOS"" buttons","A. Noi dung the le (info_block), B. Button (footer modal)",High,Manual,,,,
ACCESSING,ACC-002,The le UPDATE,Open Modal,Double Click,,Verify the modal opens correctly when double-clicking the trigger,User is logged in and on the main screen where the "The le" trigger is visible,N/A,"1. Navigate to the screen containing the ""The le"" trigger
2. Double-click on the ""The le"" button/link","The ""The le UPDATE"" modal is displayed once without error (no duplicate modals)","A. Noi dung the le (info_block), B. Button (footer modal)",Medium,Manual,,,,
ACCESSING,ACC-003,The le UPDATE,Open Modal,Keyboard,,Verify the modal opens via keyboard navigation,User is logged in and on the main screen where the "The le" trigger is visible,N/A,"1. Navigate to the screen containing the ""The le"" trigger
2. Press Tab to focus on the ""The le"" button/link
3. Press Enter","The ""The le UPDATE"" modal is displayed without error","A. Noi dung the le (info_block), B. Button (footer modal)",Medium,Manual,,,,
ACCESSING,ACC-004,The le UPDATE,Permission/Authentication,Unauthenticated User,,Verify behavior when unauthenticated user tries to access the rules modal,User is NOT logged in,N/A,"1. Navigate to the application without logging in
2. Attempt to access the ""The le"" trigger",User is redirected to login page or the trigger is not accessible,"A. Noi dung the le (info_block)",High,Manual,,,,
ACCESSING,ACC-005,The le UPDATE,Open Modal,Re-open,,Verify modal can be reopened after being closed,User is logged in and on the main screen,N/A,"1. Open the ""The le UPDATE"" modal
2. Close the modal by clicking ""Dong""
3. Click the ""The le"" trigger again","The modal reopens correctly with all content displayed properly","A. Noi dung the le (info_block), B.1 Button dong",Medium,Manual,,,,
ACCESSING,ACC-006,The le UPDATE,Open Modal,Responsive,,Verify modal opens correctly across all breakpoints,User is logged in,"Screen widths: 320px (mobile), 768px (tablet), 1024px (desktop), 1440px (wide)","1. Set browser to each target width
2. Click on the ""The le"" trigger","Modal opens correctly and is fully visible at each breakpoint","A. Noi dung the le (info_block)",Medium,Manual,,,,
GUI,GUI-001,The le UPDATE,Layout,Modal Position,,Verify the modal is displayed at the correct position per design specs,"User is logged in and ""The le UPDATE"" modal is open",N/A,"1. Open the ""The le UPDATE"" modal
2. Observe the modal position on screen","Modal is centered on screen (or positioned as per design). Background has overlay/dimmed effect as per spec.","A. Noi dung the le (info_block)",High,Manual,,,,
GUI,GUI-002,The le UPDATE,Layout,Background Overlay,,Verify background overlay is displayed when modal is open,"""The le UPDATE"" modal is open",N/A,"1. Open the ""The le UPDATE"" modal
2. Observe the background behind the modal","Background is covered with a semi-transparent overlay as per design","A. Noi dung the le (info_block)",Medium,Manual,,,,
GUI,GUI-003,The le UPDATE,Content Display,Title,,Verify the title text is displayed correctly with proper styling,"""The le UPDATE"" modal is open",N/A,"1. Open the ""The le UPDATE"" modal
2. Check the title text, position, font, size, and color","Title is displayed at the correct position with correct text content, font style, font size, and color matching the design","A. Noi dung the le (info_block)",High,Manual,,,,
GUI,GUI-004,The le UPDATE,Content Display,Description,,Verify the description text is displayed correctly,"""The le UPDATE"" modal is open",N/A,"1. Open the ""The le UPDATE"" modal
2. Check the description text content, position, and styling","Description is displayed correctly with proper text, position, font, size, color, and line spacing matching the design","A. Noi dung the le (info_block)",High,Manual,,,,
