Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_DPB_ACC_001,Dropdown Phong ban,ACCESSING,Open Dropdown,Click Trigger,Verify the department dropdown opens when user clicks the dropdown trigger,User is logged in and on a page containing the department dropdown,,"1. Navigate to the page with the department dropdown.
2. Click on the department dropdown trigger.","Dropdown list expands showing department items with dark background, rounded corners. Currently selected department is highlighted.",721-5684-specs.md - Visual Specifications,High,User interface,,,,
ACCESSING,TC_DPB_ACC_002,Dropdown Phong ban,ACCESSING,Open Dropdown,Keyboard Open,"Verify the department dropdown opens when user presses Enter or Space on focused trigger",User is logged in and on a page containing the department dropdown,,"1. Navigate to the page with the department dropdown.
2. Tab to focus on the dropdown trigger.
3. Press Enter (or Space).",Dropdown list expands showing department items.,721-5684-viewpoints.md - Keyboard interactions,Medium,User interface,,,,
ACCESSING,TC_DPB_ACC_003,Dropdown Phong ban,ACCESSING,Close Dropdown,Select Item,Verify the dropdown closes after selecting a department,Dropdown is open,,"1. Open the department dropdown.
2. Click on any department item.",Dropdown closes. Selected department is applied as filter.,721-5684-specs.md - Functional Behavior,High,User interface,,,,
ACCESSING,TC_DPB_ACC_004,Dropdown Phong ban,ACCESSING,Close Dropdown,Click Outside,Verify the dropdown closes when user clicks outside the dropdown area,Dropdown is open,,"1. Open the department dropdown.
2. Click on any area outside the dropdown.",Dropdown closes. Previously selected department remains unchanged.,721-5684-specs.md - Functional Behavior,High,User interface,,,,
ACCESSING,TC_DPB_ACC_005,Dropdown Phong ban,ACCESSING,Close Dropdown,Escape Key,Verify the dropdown closes when user presses the Escape key,Dropdown is open,,"1. Open the department dropdown.
2. Press the Escape key.",Dropdown closes. Previously selected department remains unchanged.,721-5684-viewpoints.md - Keyboard interactions,Medium,User interface,,,,
ACCESSING,TC_DPB_ACC_006,Dropdown Phong ban,ACCESSING,Open Dropdown,Double Click,Verify dropdown behaves correctly on double-click,User is logged in and on a page containing the department dropdown,,"1. Double-click on the department dropdown trigger.","Dropdown opens and closes (or opens once) without error. No duplicate actions.",721-5684-specs.md - Functional Behavior,Low,User interface,,,,
GUI,TC_DPB_GUI_001,Dropdown Phong ban,GUI,Layout,Container,Verify the dropdown container displays correctly per design specs,User is logged in and dropdown is open,,"1. Open the department dropdown.
2. Observe the dropdown container.","Dropdown container displays with dark background, rounded corners, approximately 101x348px dimensions.",721-5684-specs.md - Visual Specifications,High,User interface,,,,
GUI,TC_DPB_GUI_002,Dropdown Phong ban,GUI,Layout,Position,Verify the dropdown appears in correct position relative to the trigger element,User is logged in,,"1. Click on the department dropdown trigger.
2. Observe the position of the dropdown list.","Dropdown list appears directly below (or near) the trigger element, properly aligned.",721-5684-specs.md - Visual Specifications,Medium,User interface,,,,
GUI,TC_DPB_GUI_003,Dropdown Phong ban,GUI,Layout,Text Alignment,Verify all department items have centered text,Dropdown is open,,"1. Open the department dropdown.
2. Observe text alignment of all visible items.",All department names are centered within their respective list items.,721-5684-specs.md - Visual Specifications,Medium,User interface,,,,
GUI,TC_DPB_GUI_004,Dropdown Phong ban,GUI,Layout,Text Color,Verify unselected items display white text on dark background,Dropdown is open,,"1. Open the department dropdown.
2. Observe text color of unselected items.",Unselected items display white text on dark background.,721-5684-specs.md - Visual Specifications,Medium,User interface,,,,
