No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"3","313:8437","Keyvisual","キービジュアル","Keyvisual Banner","others","hero_banner","","","false","","","","","","Banner chính hiển thị artwork và tiêu đề chiến dịch cho trang Hệ thống giải thưởng.

Purpose and Context
Banner đầu trang Hệ thống giải thưởng SAA 2025; hiển thị artwork và tiêu đề chiến dịch.

Display Elements:
  - Ảnh nền: public/images/awards/keyvisual-award-bg.png (cover; crop trung tâm)
  - Gradient overlay: linear-gradient(0deg; #00101A -4.23%; rgba(0; 19; 32; 0) 52.79%) phủ phía dưới ảnh nền
  - Ảnh ROOT: public/images/homepage/root-text.png (bên trái phía trên)
  - Ảnh FURTHER: public/images/homepage/further-text.png (bên trái dưới ảnh ROOT)
  - Text phụ: 'Sun* Annual Awards 2025' (căn giữa phía dưới)

Function & Logic:
  - Tĩnh; không có hành vi click
  - Responsive: ảnh nền scale cover và crop trung tâm
  - Áp dụng đa ngôn ngữ cho text 'Sun* Annual Awards 2025'
  - Accessibility: alt text cho các ảnh","","","","","","- Banner có hiển thị đúng full width và crop center trên các breakpoint không?
- Gradient overlay có che phủ đúng phần dưới banner không?
- Trên mobile; banner responsive như thế nào (chiều cao; crop)?"
"A","313:8453","Title hệ thống giải thưởng","受賞システムタイトル","Awards System Title","label","heading","","","false","","","","","","Tiêu đề phần giới thiệu hệ thống giải thưởng SAA 2025; nằm phía dưới banner.

Purpose and Context
Khối tiêu đề chính của trang; gồm text phụ và tiêu đề lớn; ngăn cách bằng đường line.

Display Elements:
  - Text phụ: 'Sun* annual awards 2025' (Montserrat 24px/32px Bold; trắng)
  - Đường line ngang: background #2E3940; cách trên dưới 16px
  - Tiêu đề chính: 'Hệ thống giải thưởng SAA 2025' (Montserrat 57px/64px Bold; vàng #FFEA9E; letter-spacing -0.25px)

Function & Logic:
  - Tĩnh; không interactive
  - Áp dụng đa ngôn ngữ cho cả hai dòng text
  - Responsive: Mobile text-3xl → Tablet text-4xl → Desktop text-[57px]","","","","","","- Hai dòng text hiển thị đúng nội dung và đa ngôn ngữ khi chuyển ngôn ngữ không?
- Đường line giữa text phụ và tiêu đề có hiển thị đúng; cách trên dưới 16px không?
- Trên mobile; tiêu đề có wrap đúng cách không?"
"B","313:8458","Hệ thống giải thưởng","受賞システム","Awards System Container","others","section_container","","","false","","","","","","Container chứa toàn bộ phần nội dung hệ thống giải thưởng; bố cục 2 cột.

Purpose and Context
Section chính chứa sidebar điều hướng bên trái và danh sách giải thưởng bên phải.

Display Elements:
  - Sidebar trái: Danh sách anchor link (rộng 178px); sticky khi cuộn
  - Content phải: Các khối thông tin giải thưởng xếp dọc; ngăn cách bằng khoảng cách + đường line
  - Children: Menu list (C); các khối giải D.1–D.6; Sun* Kudos (D1)

Function & Logic:
  - Click mục sidebar trái: cuộn smooth đến section giải tương ứng bên phải
  - Sidebar sticky theo scroll; tự động highlight mục đang trong viewport
  - Responsive: Mobile → sidebar ẩn hoặc chuyển horizontal; Desktop → 2 cột","on_click","Cuộn smooth đến section giải tương ứng","","","","- Bố cục 2 cột (sidebar 178px + content) có đúng tỷ lệ không?
- Sidebar có sticky đúng khi cuộn trang không?
- Trên mobile; sidebar chuyển thành dạng gì (horizontal scroll; ẩn; dropdown)?
- Các khối giải thưởng có ngăn cách đúng bằng khoảng cách + đường line không?"
"C","313:8459","Menu list","メニューリスト","Award Navigation Menu","others","navigation","","","false","","","","","","Sidebar điều hướng dọc chứa danh sách 6 hạng mục giải thưởng.

Purpose and Context
Danh mục anchor link bên trái; cho phép người dùng nhảy nhanh đến từng giải thưởng.

Display Elements:
  - 6 mục: 'Top Talent'; 'Top Project'; 'Top Project Leader'; 'Best Manager'; 'Signature 2025 Creator'; 'MVP'
  - Mỗi mục có icon target phía trước + text tên giải
  - Trạng thái active: text vàng + gạch dưới text (KHÔNG có background)
  - Trạng thái mặc định: text trắng; không gạch dưới
  - Khối rộng 178px; content mỗi mục 121px

Function & Logic:
  - Click mục: cuộn smooth đến section giải tương ứng
  - Khi user cuộn trang; mục tương ứng section đang hiển thị tự động active
  - Hover: highlight mục
  - Chỉ 1 mục active tại một thời điểm
  - Áp dụng đa ngôn ngữ cho tất cả text mục","on_click","Cuộn smooth đến section giải tương ứng","","","","- Click từng mục có cuộn smooth đến đúng section không?
- Khi cuộn trang thủ công; mục active có tự động cập nhật không?
- Active state chỉ có gạch dưới text (không có background) đúng không?
- Trên mobile/tablet; sidebar hiển thị như thế nào?
- Tất cả text mục có áp dụng đa ngôn ngữ không?"
"C.1","313:8460","Top Talent","トップタレント（ナビ）","Top Talent Nav Item","others","anchor_link","","","false","","","","","","Mục điều hướng 'Top Talent' trong sidebar; là mục đầu tiên và mặc định active.

Display Elements:
  - Icon target + text 'Top Talent'
  - Trạng thái active: text vàng + gạch dưới (không background)
  - Trạng thái mặc định: text trắng

Function & Logic:
  - Click: cuộn smooth đến section Top Talent
  - Mặc định active khi vào trang
  - Đa ngôn ngữ","on_click","Cuộn đến section Top Talent","","","","- Mục này có mặc định active khi load trang không?
- Click có cuộn đúng đến section Top Talent không?"
"C.2","313:8461","Top Project","トッププロジェクト（ナビ）","Top Project Nav Item","others","anchor_link","","","false","","","","","","Mục điều hướng 'Top Project' trong sidebar.

Display Elements:
  - Icon target + text 'Top Project'

Function & Logic:
  - Click: cuộn smooth đến section Top Project
  - Đa ngôn ngữ","on_click","Cuộn đến section Top Project","","","","- Click có cuộn đúng đến section Top Project không?"
"C.3","313:8462","Top Project Leader","トッププロジェクトリーダー（ナビ）","Top Project Leader Nav Item","others","anchor_link","","","false","","","","","","Mục điều hướng 'Top Project Leader' trong sidebar.

Display Elements:
  - Icon target + text 'Top Project Leader'

Function & Logic:
  - Click: cuộn smooth đến section Top Project Leader
  - Đa ngôn ngữ","on_click","Cuộn đến section Top Project Leader","","","","- Click có cuộn đúng đến section Top Project Leader không?"
"C.4","313:8463","Best Manager","ベストマネージャー（ナビ）","Best Manager Nav Item","others","anchor_link","","","false","","","","","","Mục điều hướng 'Best Manager' trong sidebar.

Display Elements:
  - Icon target + text 'Best Manager'

Function & Logic:
  - Click: cuộn smooth đến section Best Manager
  - Đa ngôn ngữ","on_click","Cuộn đến section Best Manager","","","","- Click có cuộn đúng đến section Best Manager không?"
"C.5","313:8464","Signature 2025 Creator","シグネチャー2025クリエイター（ナビ）","Signature 2025 Creator Nav Item","others","anchor_link","","","false","","","","","","Mục điều hướng 'Signature 2025 Creator' trong sidebar.

Display Elements:
  - Icon target + text 'Signature 2025 Creator'

Function & Logic:
  - Click: cuộn smooth đến section Signature 2025 Creator
  - Đa ngôn ngữ","on_click","Cuộn đến section Signature 2025 Creator","","","","- Click có cuộn đúng đến section Signature 2025 Creator không?"
"C.6","313:8465","MVP","MVP（ナビ）","MVP Nav Item","others","anchor_link","","","false","","","","","","Mục điều hướng 'MVP' trong sidebar; mục cuối cùng.

Display Elements:
  - Icon target + text 'MVP'

Function & Logic:
  - Click: cuộn smooth đến section MVP
  - Đa ngôn ngữ","on_click","Cuộn đến section MVP","","","","- Click có cuộn đúng đến section MVP không?"
"D.1","313:8467","Top Talent","トップタレント（受賞ブロック）","Top Talent Award Block","others","award_card","","","false","","","","","","Khối thông tin chi tiết giải thưởng Top Talent — giải đầu tiên. Sử dụng common component: ảnh bên trái; nội dung bên phải.

Purpose and Context
Thẻ giải thưởng Top Talent; hiển thị thông tin chi tiết giải bao gồm ảnh; tiêu đề; mô tả; số lượng và giá trị.

Display Elements:
  - Ảnh bên trái: Huy hiệu 'TOP TALENT' trong quả cầu vàng (public/images/awards)
  - Bên phải - Tiêu đề: Icon + 'Top Talent'
  - Bên phải - Mô tả: Đoạn văn giới thiệu giải (text tĩnh; đa ngôn ngữ)
  - Đường line ngăn cách
  - Số lượng giải thưởng: Icon + 'Số lượng giải thưởng:' + '10' + 'Đơn vị'
  - Đường line ngăn cách
  - Giá trị giải thưởng: Icon + 'Giá trị giải thưởng:'
  - Số tiền: '7.000.000 VNĐ'
  - Ghi chú: 'cho mỗi giải thưởng'

Function & Logic:
  - Tĩnh; hiển thị text tĩnh
  - Áp dụng đa ngôn ngữ cho tất cả text
  - Là section target cho anchor link 'Top Talent' trong sidebar
  - Layout: ảnh TRÁI; content PHẢI","","","","","","- Layout ảnh trái + content phải có đúng theo design không?
- Số lượng '10 Đơn vị' và giá trị '7.000.000 VNĐ' có đúng không?
- Tất cả text có áp dụng đa ngôn ngữ không?
- Đường line ngăn cách giữa các phần có đúng không?
- Trên mobile; layout có stack dọc không?
- Section có đúng là target khi click 'Top Talent' trong sidebar không?"
"D.2","313:8468","Top Project","トッププロジェクト（受賞ブロック）","Top Project Award Block","others","award_card","","","false","","","","","","Khối thông tin chi tiết giải thưởng Top Project. Common component layout đảo ngược: nội dung trái; ảnh phải.

Purpose and Context
Thẻ giải thưởng Top Project; vinh danh dự án xuất sắc.

Display Elements:
  - Bên trái - Tiêu đề: Icon + 'Top Project'
  - Bên trái - Mô tả: Đoạn văn giới thiệu giải (text tĩnh; đa ngôn ngữ)
  - Ảnh bên phải: Huy hiệu 'TOP PROJECT' trong quả cầu vàng
  - Đường line ngăn cách
  - Số lượng giải thưởng: Icon + 'Số lượng giải thưởng:' + '02' + 'Tập thể'
  - Đường line ngăn cách
  - Giá trị giải thưởng: Icon + 'Giá trị giải thưởng:'
  - Số tiền: '15.000.000 VNĐ'
  - Ghi chú: 'cho mỗi giải thưởng'

Function & Logic:
  - Tĩnh; text tĩnh
  - Áp dụng đa ngôn ngữ
  - Là section target cho anchor link 'Top Project'
  - Layout alternating: content TRÁI; ảnh PHẢI","","","","","","- Layout content trái + ảnh phải có đảo ngược đúng so với D.1 không?
- Số lượng '02 Tập thể' và giá trị '15.000.000 VNĐ' có đúng không?
- Đường line ngăn cách với section trước có đúng không?
- Tất cả text có đa ngôn ngữ không?"
